

|Skills        |Country     |   n| mean|Job                       |
|confluence    |Germany     |   1|  130|Business Analyst          |
|gcp           |Belgium     |   6|  130|Data Analyst              |
|gcp           |Belgium     |   6|  130|Data Engineer             |
|gcp           |Belgium     |   6|  130|Data Scientist            |
|excel         |Sweden      |   3|  130|Data Analyst              |
|excel         |Sweden      |   3|  130|Data Engineer             |
|excel         |Sweden      |   3|  130|Senior Data Scientist     |
|bigquery      |Portugal    |   8|  129|Data Analyst              |
|bigquery      |Portugal    |   8|  129|Data Engineer             |
|bigquery      |Portugal    |   8|  129|Senior Data Analyst       |
|numpy         |Romania     |   2|  129|Software Engineer         |
|numpy         |Romania     |   2|  129|Data Scientist            |
|java          |Ireland     |   8|  129|Data Engineer             |
|java          |Ireland     |   8|  129|Senior Data Engineer      |
|java          |Ireland     |   8|  129|Machine Learning Engineer |
|typescript    |Germany     |   3|  129|Senior Data Engineer      |
|typescript    |Germany     |   3|  129|Data Engineer             |
|scikit-learn  |Spain       |   7|  129|Data Analyst              |
|scikit-learn  |Spain       |   7|  129|Machine Learning Engineer |
|scikit-learn  |Spain       |   7|  129|Data Scientist            |
|redshift      |France      |   6|  129|Data Engineer             |
|redshift      |France      |   6|  129|Software Engineer         |
|redshift      |France      |   6|  129|Senior Data Analyst       |
|redshift      |France      |   6|  129|Data Analyst              |
|go            |Romania     |   6|  129|Software Engineer         |
|go            |Romania     |   6|  129|Senior Data Analyst       |
|go            |Romania     |   6|  129|Data Analyst              |
|go            |Romania     |   6|  129|Senior Data Engineer      |
|puppet        |Spain       |   1|  129|Cloud Engineer            |
|chef          |Spain       |   1|  129|Cloud Engineer            |
|ansible       |Spain       |   1|  129|Cloud Engineer            |
|looker        |Poland      |  14|  129|Senior Data Engineer      |
|looker        |Poland      |  14|  129|Data Analyst              |
|looker        |Poland      |  14|  129|Data Engineer             |
|looker        |Poland      |  14|  129|Data Scientist            |
|looker        |Poland      |  14|  129|Senior Data Analyst       |
|looker        |Poland      |  14|  129|Cloud Engineer            |
|gdpr          |Poland      |   3|  129|Data Analyst              |
|gdpr          |Poland      |   3|  129|Cloud Engineer            |
|terraform     |France      |   8|  129|Data Engineer             |
|terraform     |France      |   8|  129|Data Analyst              |
|terraform     |France      |   8|  129|Data Scientist            |
|terraform     |France      |   8|  129|Software Engineer         |
|alteryx       |Finland     |   1|  129|Data Analyst              |
|redis         |Netherlands |   4|  129|Data Engineer             |
|redis         |Netherlands |   4|  129|Senior Data Engineer      |
|airflow       |Romania     |   5|  129|Data Engineer             |
|airflow       |Romania     |   5|  129|Senior Data Engineer      |
|looker        |Finland     |   4|  129|Data Analyst              |
|looker        |Finland     |   4|  129|Senior Data Scientist     |
|looker        |Finland     |   4|  129|Senior Data Analyst       |
|oracle        |Portugal    |   5|  129|Software Engineer         |
|oracle        |Portugal    |   5|  129|Data Engineer             |
|oracle        |Portugal    |   5|  129|Data Scientist            |
|go            |France      |  17|  128|Senior Data Engineer      |
|go            |France      |  17|  128|Business Analyst          |
|go            |France      |  17|  128|Data Engineer             |
|go            |France      |  17|  128|Senior Data Analyst       |
|go            |France      |  17|  128|Data Scientist            |
|go            |France      |  17|  128|Machine Learning Engineer |
|go            |France      |  17|  128|Senior Data Scientist     |
|go            |France      |  17|  128|Cloud Engineer            |
|flow          |Poland      |   8|  128|Senior Data Engineer      |
|flow          |Poland      |   8|  128|Data Engineer             |
|flow          |Poland      |   8|  128|Business Analyst          |
|flow          |Poland      |   8|  128|Senior Data Scientist     |
|flow          |Poland      |   8|  128|Data Analyst              |
|oracle        |Germany     |   7|  128|Data Scientist            |
|oracle        |Germany     |   7|  128|Data Engineer             |
|oracle        |Germany     |   7|  128|Senior Data Engineer      |
|oracle        |Germany     |   7|  128|Machine Learning Engineer |
|oracle        |Germany     |   7|  128|Senior Data Scientist     |
|oracle        |Germany     |   7|  128|Data Analyst              |
|scala         |Spain       |  15|  128|Senior Data Engineer      |
|scala         |Spain       |  15|  128|Data Engineer             |
|scala         |Spain       |  15|  128|Data Scientist            |
|scala         |Spain       |  15|  128|Software Engineer         |
|scala         |Spain       |  15|  128|Machine Learning Engineer |
|kubernetes    |Portugal    |  11|  128|Data Scientist            |
|kubernetes    |Portugal    |  11|  128|Data Engineer             |
|kubernetes    |Portugal    |  11|  128|Machine Learning Engineer |
|kubernetes    |Portugal    |  11|  128|Senior Data Scientist     |
|gcp           |Greece      |   2|  128|Machine Learning Engineer |
|gcp           |Greece      |   2|  128|Data Engineer             |
|jupyter       |France      |   6|  128|Machine Learning Engineer |
|jupyter       |France      |   6|  128|Data Scientist            |
|jupyter       |France      |   6|  128|Data Analyst              |
|jupyter       |France      |   6|  128|Senior Data Engineer      |
|jupyter       |France      |   6|  128|Senior Data Scientist     |
|sql server    |Portugal    |   3|  128|Software Engineer         |
|sql server    |Portugal    |   3|  128|Data Analyst              |
|power bi      |Sweden      |  10|  128|Data Scientist            |
|power bi      |Sweden      |  10|  128|Senior Data Engineer      |
|power bi      |Sweden      |  10|  128|Business Analyst          |
|power bi      |Sweden      |  10|  128|Senior Data Scientist     |
|power bi      |Sweden      |  10|  128|Data Analyst              |
|power bi      |Sweden      |  10|  128|Senior Data Analyst       |
|dax           |Ireland     |   2|  128|Data Engineer             |
|dax           |Ireland     |   2|  128|Data Analyst              |
|kubernetes    |Hungary     |   3|  128|Machine Learning Engineer |
|kubernetes    |Hungary     |   3|  128|Data Scientist            |
|kubernetes    |Hungary     |   3|  128|Data Engineer             |
|git           |Portugal    |  10|  128|Data Engineer             |
|git           |Portugal    |  10|  128|Senior Data Engineer      |
|git           |Portugal    |  10|  128|Data Scientist            |
|git           |Portugal    |  10|  128|Data Analyst              |
|docker        |Finland     |   4|  128|Software Engineer         |
|docker        |Finland     |   4|  128|Machine Learning Engineer |
|docker        |Finland     |   4|  128|Senior Data Scientist     |
|docker        |Finland     |   4|  128|Senior Data Engineer      |
|sql server    |Poland      |   7|  127|Software Engineer         |
|sql server    |Poland      |   7|  127|Senior Data Engineer      |
|sql server    |Poland      |   7|  127|Data Analyst              |
|sql server    |Poland      |   7|  127|Data Engineer             |
|java          |Netherlands |  11|  127|Data Engineer             |
|java          |Netherlands |  11|  127|Machine Learning Engineer |
|java          |Netherlands |  11|  127|Data Analyst              |
|java          |Netherlands |  11|  127|Software Engineer         |
|java          |Netherlands |  11|  127|Data Scientist            |
|sap           |Netherlands |   3|  127|Data Analyst              |
|sap           |Sweden      |   1|  127|Business Analyst          |
|postgresql    |Poland      |   8|  127|Senior Data Engineer      |
|postgresql    |Poland      |   8|  127|Data Engineer             |
|postgresql    |Poland      |   8|  127|Business Analyst          |
|postgresql    |Poland      |   8|  127|Machine Learning Engineer |
|looker        |Germany     |  20|  127|Senior Data Scientist     |
|looker        |Germany     |  20|  127|Data Scientist            |
|looker        |Germany     |  20|  127|Data Engineer             |
|looker        |Germany     |  20|  127|Cloud Engineer            |
|looker        |Germany     |  20|  127|Senior Data Analyst       |
|looker        |Germany     |  20|  127|Data Analyst              |
|looker        |Germany     |  20|  127|Senior Data Engineer      |
|r             |Sweden      |   6|  127|Data Scientist            |
|r             |Sweden      |   6|  127|Data Analyst              |
|r             |Sweden      |   6|  127|Senior Data Analyst       |
|databricks    |Sweden      |   5|  127|Data Scientist            |
|databricks    |Sweden      |   5|  127|Data Analyst              |
|databricks    |Sweden      |   5|  127|Data Engineer             |
|databricks    |Sweden      |   5|  127|Senior Data Analyst       |
|python        |Ireland     |  31|  127|Data Engineer             |
|python        |Ireland     |  31|  127|Data Analyst              |
|python        |Ireland     |  31|  127|Machine Learning Engineer |
|python        |Ireland     |  31|  127|Senior Data Engineer      |
|python        |Ireland     |  31|  127|Senior Data Analyst       |
|python        |Ireland     |  31|  127|Senior Data Scientist     |
|python        |Ireland     |  31|  127|Data Scientist            |
|theano        |Poland      |   1|  127|Data Scientist            |
|mxnet         |Poland      |   1|  127|Data Scientist            |
|java          |Hungary     |   7|  127|Data Scientist            |
|java          |Hungary     |   7|  127|Machine Learning Engineer |
|java          |Hungary     |   7|  127|Senior Data Engineer      |
|java          |Hungary     |   7|  127|Data Engineer             |
|qlik          |Spain       |   8|  127|Data Engineer             |
|qlik          |Spain       |   8|  127|Data Scientist            |
|qlik          |Spain       |   8|  127|Senior Data Analyst       |
|qlik          |Spain       |   8|  127|Software Engineer         |
|qlik          |Spain       |   8|  127|Data Analyst              |
|spark         |Portugal    |  31|  127|Data Analyst              |
|spark         |Portugal    |  31|  127|Data Engineer             |
|spark         |Portugal    |  31|  127|Data Scientist            |
|spark         |Portugal    |  31|  127|Machine Learning Engineer |
|spark         |Portugal    |  31|  127|Senior Data Scientist     |
|spark         |Portugal    |  31|  127|Business Analyst          |
|nosql         |Portugal    |   7|  126|Data Scientist            |
|nosql         |Portugal    |   7|  126|Data Engineer             |
|jenkins       |Greece      |   3|  126|Data Engineer             |
|jenkins       |Greece      |   3|  126|Machine Learning Engineer |
|mysql         |France      |   5|  126|Data Engineer             |
|mysql         |France      |   5|  126|Machine Learning Engineer |
|mysql         |France      |   5|  126|Software Engineer         |
|bitbucket     |Poland      |   2|  126|Data Engineer             |
|scikit-learn  |Poland      |   9|  126|Data Scientist            |
|scikit-learn  |Poland      |   9|  126|Machine Learning Engineer |
|scikit-learn  |Poland      |   9|  126|Senior Data Scientist     |
|scikit-learn  |Poland      |   9|  126|Data Analyst              |
|sql           |Portugal    |  62|  126|Data Scientist            |
|sql           |Portugal    |  62|  126|Software Engineer         |
|sql           |Portugal    |  62|  126|Data Analyst              |
|sql           |Portugal    |  62|  126|Senior Data Scientist     |
|sql           |Portugal    |  62|  126|Data Engineer             |
|sql           |Portugal    |  62|  126|Senior Data Engineer      |
|sql           |Portugal    |  62|  126|Senior Data Analyst       |
|sql           |Portugal    |  62|  126|Machine Learning Engineer |
|sql           |Portugal    |  62|  126|Business Analyst          |
|spark         |France      |  54|  126|Senior Data Engineer      |
|spark         |France      |  54|  126|Data Engineer             |
|spark         |France      |  54|  126|Data Analyst              |
|spark         |France      |  54|  126|Data Scientist            |
|spark         |France      |  54|  126|Software Engineer         |
|spark         |France      |  54|  126|Business Analyst          |
|spark         |France      |  54|  126|Senior Data Scientist     |
|spark         |France      |  54|  126|Senior Data Analyst       |
|mysql         |Portugal    |   2|  126|Data Engineer             |
|mongo         |Portugal    |   2|  126|Data Engineer             |
|jira          |Ireland     |   2|  126|Data Analyst              |
|jira          |Ireland     |   2|  126|Data Engineer             |
|gitlab        |Netherlands |   2|  126|Data Engineer             |
|c             |Greece      |   2|  126|Data Engineer             |
|c             |Greece      |   2|  126|Data Scientist            |
|matlab        |Portugal    |   3|  126|Senior Data Scientist     |
|matlab        |Portugal    |   3|  126|Data Scientist            |
|aws           |France      |  50|  126|Machine Learning Engineer |
|aws           |France      |  50|  126|Senior Data Engineer      |
|aws           |France      |  50|  126|Business Analyst          |
|aws           |France      |  50|  126|Data Analyst              |
|aws           |France      |  50|  126|Data Engineer             |
|aws           |France      |  50|  126|Software Engineer         |
|aws           |France      |  50|  126|Data Scientist            |
|aws           |France      |  50|  126|Senior Data Scientist     |
|aws           |France      |  50|  126|Senior Data Analyst       |
|snowflake     |Sweden      |   5|  126|Business Analyst          |
|snowflake     |Sweden      |   5|  126|Data Scientist            |
|snowflake     |Sweden      |   5|  126|Senior Data Scientist     |
|snowflake     |Sweden      |   5|  126|Data Engineer             |
|snowflake     |Sweden      |   5|  126|Senior Data Engineer      |
|pandas        |France      |  13|  126|Business Analyst          |
|pandas        |France      |  13|  126|Senior Data Engineer      |
|pandas        |France      |  13|  126|Data Engineer             |
|pandas        |France      |  13|  126|Data Scientist            |
|pandas        |France      |  13|  126|Senior Data Scientist     |
|pandas        |France      |  13|  126|Machine Learning Engineer |
|docker        |Portugal    |  16|  126|Data Scientist            |
|docker        |Portugal    |  16|  126|Data Engineer             |
|docker        |Portugal    |  16|  126|Machine Learning Engineer |
|docker        |Portugal    |  16|  126|Senior Data Analyst       |
|docker        |Portugal    |  16|  126|Senior Data Engineer      |
|docker        |Portugal    |  16|  126|Senior Data Scientist     |
|python        |Germany     | 138|  126|Data Analyst              |
|python        |Germany     | 138|  126|Machine Learning Engineer |
|python        |Germany     | 138|  126|Business Analyst          |
|python        |Germany     | 138|  126|Senior Data Scientist     |
|python        |Germany     | 138|  126|Data Scientist            |
|python        |Germany     | 138|  126|Cloud Engineer            |
|python        |Germany     | 138|  126|Data Engineer             |
|python        |Germany     | 138|  126|Software Engineer         |
|python        |Germany     | 138|  126|Senior Data Engineer      |
|python        |Germany     | 138|  126|Senior Data Analyst       |
|scala         |Ireland     |   6|  126|Data Analyst              |
|scala         |Ireland     |   6|  126|Data Engineer             |
|scala         |Ireland     |   6|  126|Senior Data Engineer      |
|spark         |Spain       |  34|  126|Data Engineer             |
|spark         |Spain       |  34|  126|Data Analyst              |
|spark         |Spain       |  34|  126|Machine Learning Engineer |
|spark         |Spain       |  34|  126|Senior Data Engineer      |
|spark         |Spain       |  34|  126|Data Scientist            |
|spark         |Spain       |  34|  126|Software Engineer         |
|looker        |Sweden      |   4|  125|Data Scientist            |
|looker        |Sweden      |   4|  125|Senior Data Scientist     |
|looker        |Sweden      |   4|  125|Senior Data Engineer      |
|looker        |Sweden      |   4|  125|Senior Data Analyst       |
|c#            |Belgium     |   3|  125|Data Analyst              |
|c#            |Belgium     |   3|  125|Data Engineer             |
|airflow       |Sweden      |   7|  125|Data Engineer             |
|airflow       |Sweden      |   7|  125|Data Scientist            |
|airflow       |Sweden      |   7|  125|Senior Data Scientist     |
|airflow       |Sweden      |   7|  125|Senior Data Engineer      |
|gcp           |Sweden      |   7|  125|Data Scientist            |
|gcp           |Sweden      |   7|  125|Data Engineer             |
|gcp           |Sweden      |   7|  125|Senior Data Engineer      |
|gcp           |Sweden      |   7|  125|Machine Learning Engineer |
|aws           |Hungary     |  18|  125|Machine Learning Engineer |
|aws           |Hungary     |  18|  125|Data Scientist            |
|aws           |Hungary     |  18|  125|Senior Data Analyst       |
|aws           |Hungary     |  18|  125|Data Engineer             |
|aws           |Hungary     |  18|  125|Senior Data Engineer      |
|aws           |Hungary     |  18|  125|Data Analyst              |
|aws           |Hungary     |  18|  125|Software Engineer         |
|aws           |Hungary     |  18|  125|Senior Data Scientist     |
|aws           |Hungary     |  18|  125|Cloud Engineer            |
|aws           |Romania     |   8|  125|Senior Data Engineer      |
|aws           |Romania     |   8|  125|Software Engineer         |
|aws           |Romania     |   8|  125|Data Scientist            |
|aws           |Romania     |   8|  125|Data Engineer             |
|aws           |Romania     |   8|  125|Machine Learning Engineer |
|python        |Portugal    |  68|  125|Data Scientist            |
|python        |Portugal    |  68|  125|Data Engineer             |
|python        |Portugal    |  68|  125|Senior Data Scientist     |
|python        |Portugal    |  68|  125|Data Analyst              |
|python        |Portugal    |  68|  125|Machine Learning Engineer |
|python        |Portugal    |  68|  125|Senior Data Analyst       |
|python        |Portugal    |  68|  125|Software Engineer         |
|python        |Portugal    |  68|  125|Senior Data Engineer      |
|snowflake     |Finland     |   6|  125|Data Engineer             |
|snowflake     |Finland     |   6|  125|Senior Data Scientist     |
|snowflake     |Finland     |   6|  125|Senior Data Engineer      |
|snowflake     |Finland     |   6|  125|Senior Data Analyst       |
|snowflake     |Finland     |   6|  125|Machine Learning Engineer |
|hadoop        |France      |  24|  125|Data Engineer             |
|hadoop        |France      |  24|  125|Data Scientist            |
|hadoop        |France      |  24|  125|Business Analyst          |
|hadoop        |France      |  24|  125|Senior Data Analyst       |
|hadoop        |France      |  24|  125|Data Analyst              |
|hadoop        |France      |  24|  125|Software Engineer         |
|gcp           |Finland     |   1|  125|Data Scientist            |
|tensorflow    |Poland      |  14|  125|Machine Learning Engineer |
|tensorflow    |Poland      |  14|  125|Data Scientist            |
|tensorflow    |Poland      |  14|  125|Senior Data Scientist     |
|tensorflow    |Poland      |  14|  125|Cloud Engineer            |
|tensorflow    |Poland      |  14|  125|Data Engineer             |
|pytorch       |Portugal    |   5|  125|Machine Learning Engineer |
|pytorch       |Portugal    |   5|  125|Data Scientist            |
|gcp           |Netherlands |   9|  124|Senior Data Engineer      |
|gcp           |Netherlands |   9|  124|Data Engineer             |
|gcp           |Netherlands |   9|  124|Machine Learning Engineer |
|gcp           |Netherlands |   9|  124|Data Scientist            |
|git           |Germany     |  21|  124|Senior Data Scientist     |
|git           |Germany     |  21|  124|Cloud Engineer            |
|git           |Germany     |  21|  124|Data Engineer             |
|git           |Germany     |  21|  124|Data Scientist            |
|git           |Germany     |  21|  124|Machine Learning Engineer |
|git           |Germany     |  21|  124|Senior Data Analyst       |
|git           |Germany     |  21|  124|Senior Data Engineer      |
|git           |Germany     |  21|  124|Data Analyst              |
|bigquery      |Sweden      |   3|  124|Data Scientist            |
|bigquery      |Sweden      |   3|  124|Data Engineer             |
|gdpr          |Sweden      |   7|  124|Data Scientist            |
|gdpr          |Sweden      |   7|  124|Data Engineer             |
|gdpr          |Sweden      |   7|  124|Data Analyst              |
|gdpr          |Sweden      |   7|  124|Machine Learning Engineer |
|gdpr          |Sweden      |   7|  124|Business Analyst          |
|tableau       |Poland      |  34|  124|Business Analyst          |
|tableau       |Poland      |  34|  124|Data Scientist            |
|tableau       |Poland      |  34|  124|Data Analyst              |
|tableau       |Poland      |  34|  124|Data Engineer             |
|tableau       |Poland      |  34|  124|Senior Data Analyst       |
|tableau       |Poland      |  34|  124|Senior Data Scientist     |
|tableau       |Poland      |  34|  124|Senior Data Engineer      |
|looker        |Italy       |   3|  124|Senior Data Analyst       |
|looker        |Italy       |   3|  124|Data Engineer             |
|looker        |Italy       |   3|  124|Data Analyst              |
|npm           |Spain       |   4|  124|Senior Data Analyst       |
|npm           |Spain       |   4|  124|Data Analyst              |
|npm           |Spain       |   4|  124|Data Scientist            |
|azure         |Sweden      |  14|  124|Senior Data Analyst       |
|azure         |Sweden      |  14|  124|Senior Data Engineer      |
|azure         |Sweden      |  14|  124|Data Analyst              |
|azure         |Sweden      |  14|  124|Data Engineer             |
|azure         |Sweden      |  14|  124|Software Engineer         |
|azure         |Sweden      |  14|  124|Business Analyst          |
|confluence    |Spain       |   3|  124|Data Engineer             |
|confluence    |Spain       |   3|  124|Senior Data Engineer      |
|confluence    |Spain       |   3|  124|Software Engineer         |
|sql           |Germany     | 106|  124|Data Analyst              |
|sql           |Germany     | 106|  124|Business Analyst          |
|sql           |Germany     | 106|  124|Senior Data Scientist     |
|sql           |Germany     | 106|  124|Data Engineer             |
|sql           |Germany     | 106|  124|Software Engineer         |
|sql           |Germany     | 106|  124|Data Scientist            |
|sql           |Germany     | 106|  124|Senior Data Engineer      |
|sql           |Germany     | 106|  124|Senior Data Analyst       |
|sql           |Germany     | 106|  124|Machine Learning Engineer |
|sql           |Germany     | 106|  124|Cloud Engineer            |
|scikit-learn  |Ireland     |   3|  124|Machine Learning Engineer |
|scikit-learn  |Ireland     |   3|  124|Data Scientist            |
|numpy         |Ireland     |   3|  124|Senior Data Scientist     |
|numpy         |Ireland     |   3|  124|Machine Learning Engineer |
|numpy         |Ireland     |   3|  124|Data Scientist            |
|kafka         |Netherlands |  12|  124|Senior Data Engineer      |
|kafka         |Netherlands |  12|  124|Data Engineer             |
|kafka         |Netherlands |  12|  124|Machine Learning Engineer |
|slack         |Greece      |   1|  124|Data Engineer             |
|jupyter       |Greece      |   1|  124|Data Engineer             |
|r             |Hungary     |   5|  123|Software Engineer         |
|r             |Hungary     |   5|  123|Data Analyst              |
|r             |Hungary     |   5|  123|Data Scientist            |
|r             |Hungary     |   5|  123|Data Engineer             |
|python        |Finland     |  13|  123|Data Engineer             |
|python        |Finland     |  13|  123|Machine Learning Engineer |
|python        |Finland     |  13|  123|Senior Data Analyst       |
|python        |Finland     |  13|  123|Data Scientist            |
|python        |Finland     |  13|  123|Senior Data Scientist     |
|python        |Finland     |  13|  123|Senior Data Engineer      |
|scala         |Sweden      |   7|  123|Machine Learning Engineer |
|scala         |Sweden      |   7|  123|Data Engineer             |
|scala         |Sweden      |   7|  123|Senior Data Engineer      |
|snowflake     |France      |  23|  123|Senior Data Engineer      |
|snowflake     |France      |  23|  123|Data Engineer             |
|snowflake     |France      |  23|  123|Data Analyst              |
|snowflake     |France      |  23|  123|Data Scientist            |
|snowflake     |France      |  23|  123|Senior Data Analyst       |
|cassandra     |France      |   9|  123|Business Analyst          |
|cassandra     |France      |   9|  123|Senior Data Engineer      |
|cassandra     |France      |   9|  123|Data Engineer             |
|sql           |Sweden      |  27|  123|Data Scientist            |
|sql           |Sweden      |  27|  123|Data Engineer             |
|sql           |Sweden      |  27|  123|Senior Data Engineer      |
|sql           |Sweden      |  27|  123|Data Analyst              |
|sql           |Sweden      |  27|  123|Senior Data Scientist     |
|sql           |Sweden      |  27|  123|Business Analyst          |
|sql           |Sweden      |  27|  123|Senior Data Analyst       |
|r             |Portugal    |   9|  123|Data Analyst              |
|r             |Portugal    |   9|  123|Data Scientist            |
|r             |Portugal    |   9|  123|Senior Data Scientist     |
|tableau       |Sweden      |   9|  123|Data Scientist            |
|tableau       |Sweden      |   9|  123|Data Engineer             |
|tableau       |Sweden      |   9|  123|Business Analyst          |
|tableau       |Sweden      |   9|  123|Senior Data Scientist     |
|tableau       |Sweden      |   9|  123|Senior Data Engineer      |
|tableau       |Sweden      |   9|  123|Data Analyst              |
|bigquery      |Poland      |  24|  123|Data Engineer             |
|bigquery      |Poland      |  24|  123|Software Engineer         |
|bigquery      |Poland      |  24|  123|Senior Data Engineer      |
|bigquery      |Poland      |  24|  123|Data Scientist            |
|bigquery      |Poland      |  24|  123|Data Analyst              |
|bigquery      |Poland      |  24|  123|Senior Data Scientist     |
|bigquery      |Poland      |  24|  123|Senior Data Analyst       |
|word          |Portugal    |   2|  123|Data Scientist            |
|word          |Portugal    |   2|  123|Data Analyst              |
|swift         |Germany     |   2|  123|Data Scientist            |
|swift         |Germany     |   2|  123|Senior Data Scientist     |
|gdpr          |Ireland     |   3|  123|Data Analyst              |
|gdpr          |Ireland     |   3|  123|Senior Data Scientist     |
|gdpr          |Ireland     |   3|  123|Senior Data Engineer      |
|kubernetes    |France      |  22|  122|Senior Data Engineer      |
|kubernetes    |France      |  22|  122|Data Engineer             |
|kubernetes    |France      |  22|  122|Machine Learning Engineer |
|kubernetes    |France      |  22|  122|Data Analyst              |
|kubernetes    |France      |  22|  122|Data Scientist            |
|kubernetes    |France      |  22|  122|Software Engineer         |
|python        |Netherlands |  55|  122|Senior Data Engineer      |
|python        |Netherlands |  55|  122|Data Analyst              |
|python        |Netherlands |  55|  122|Data Engineer             |
|python        |Netherlands |  55|  122|Machine Learning Engineer |
|python        |Netherlands |  55|  122|Senior Data Scientist     |
|python        |Netherlands |  55|  122|Business Analyst          |
|python        |Netherlands |  55|  122|Data Scientist            |
|sap           |Spain       |   5|  122|Data Engineer             |
|sap           |Spain       |   5|  122|Data Scientist            |
|sap           |Spain       |   5|  122|Senior Data Scientist     |
|sap           |Spain       |   5|  122|Data Analyst              |
|sap           |Spain       |   5|  122|Machine Learning Engineer |
|nosql         |France      |  24|  122|Data Engineer             |
|nosql         |France      |  24|  122|Machine Learning Engineer |
|nosql         |France      |  24|  122|Senior Data Engineer      |
|nosql         |France      |  24|  122|Data Analyst              |
|nosql         |France      |  24|  122|Senior Data Scientist     |
|nosql         |France      |  24|  122|Senior Data Analyst       |
|nosql         |France      |  24|  122|Data Scientist            |
|dax           |Portugal    |   3|  122|Data Analyst              |
|dax           |Portugal    |   3|  122|Software Engineer         |
|dax           |Portugal    |   3|  122|Senior Data Engineer      |
|jenkins       |France      |  24|  122|Senior Data Engineer      |
|jenkins       |France      |  24|  122|Data Analyst              |
|jenkins       |France      |  24|  122|Data Engineer             |
|jenkins       |France      |  24|  122|Business Analyst          |
|jenkins       |France      |  24|  122|Software Engineer         |
|jenkins       |France      |  24|  122|Data Scientist            |
|bigquery      |Spain       |   6|  122|Senior Data Engineer      |
|bigquery      |Spain       |   6|  122|Data Analyst              |
|bigquery      |Spain       |   6|  122|Data Engineer             |
|bigquery      |Spain       |   6|  122|Data Scientist            |
|aws           |Netherlands |  19|  122|Senior Data Engineer      |
|aws           |Netherlands |  19|  122|Data Engineer             |
|aws           |Netherlands |  19|  122|Business Analyst          |
|aws           |Netherlands |  19|  122|Data Analyst              |
|aws           |Netherlands |  19|  122|Data Scientist            |
|aws           |Netherlands |  19|  122|Machine Learning Engineer |
|aws           |Netherlands |  19|  122|Senior Data Scientist     |
|zoom          |Germany     |   2|  122|Machine Learning Engineer |
|zoom          |Germany     |   2|  122|Senior Data Engineer      |
|vue           |France      |   2|  122|Senior Data Analyst       |
|vue           |France      |   2|  122|Data Engineer             |
|unify         |Germany     |   2|  122|Senior Data Engineer      |
|ruby          |Greece      |   4|  122|Data Engineer             |
|redshift      |Romania     |   2|  122|Senior Data Engineer      |
|redshift      |Greece      |   2|  122|Data Engineer             |
|mysql         |Hungary     |   2|  122|Software Engineer         |
|mysql         |Hungary     |   2|  122|Senior Data Engineer      |
|jupyter       |Germany     |   2|  122|Senior Data Engineer      |
|jupyter       |Germany     |   2|  122|Machine Learning Engineer |
|gcp           |Romania     |   2|  122|Senior Data Engineer      |
|css           |Spain       |   2|  122|Data Engineer             |
|css           |Spain       |   2|  122|Data Scientist            |
|confluence    |France      |   2|  122|Senior Data Analyst       |
|confluence    |France      |   2|  122|Data Engineer             |
|bigquery      |Romania     |   2|  122|Senior Data Engineer      |
|ansible       |Greece      |   2|  122|Data Engineer             |
|word          |Sweden      |   1|  122|Data Analyst              |
|vba           |Sweden      |   1|  122|Data Analyst              |
|sharepoint    |Sweden      |   1|  122|Data Analyst              |
|powerpoint    |Sweden      |   1|  122|Data Analyst              |
|slack         |Germany     |   3|  122|Cloud Engineer            |
|slack         |Germany     |   3|  122|Senior Data Engineer      |
|slack         |Germany     |   3|  122|Business Analyst          |
|docker        |France      |  36|  122|Senior Data Engineer      |
|docker        |France      |  36|  122|Machine Learning Engineer |
|docker        |France      |  36|  122|Data Analyst              |
|docker        |France      |  36|  122|Data Engineer             |
|docker        |France      |  36|  122|Software Engineer         |
|docker        |France      |  36|  122|Business Analyst          |
|docker        |France      |  36|  122|Data Scientist            |
|spark         |Netherlands |  20|  121|Senior Data Engineer      |
|spark         |Netherlands |  20|  121|Data Engineer             |
|spark         |Netherlands |  20|  121|Data Analyst              |
|spark         |Netherlands |  20|  121|Data Scientist            |
|spark         |Netherlands |  20|  121|Senior Data Analyst       |
|spark         |Netherlands |  20|  121|Machine Learning Engineer |
|tableau       |Belgium     |   5|  121|Data Scientist            |
|tableau       |Belgium     |   5|  121|Data Engineer             |
|sap           |Germany     |  10|  121|Business Analyst          |
|sap           |Germany     |  10|  121|Software Engineer         |
|sap           |Germany     |  10|  121|Senior Data Engineer      |
|sap           |Germany     |  10|  121|Data Engineer             |
|sap           |Germany     |  10|  121|Data Analyst              |
|sap           |Germany     |  10|  121|Senior Data Analyst       |
|gdpr          |Greece      |   2|  121|Data Scientist            |
|gdpr          |Greece      |   2|  121|Data Engineer             |
|python        |Hungary     |  32|  121|Machine Learning Engineer |
|python        |Hungary     |  32|  121|Data Scientist            |
|python        |Hungary     |  32|  121|Data Analyst              |
|python        |Hungary     |  32|  121|Data Engineer             |
|python        |Hungary     |  32|  121|Software Engineer         |
|python        |Hungary     |  32|  121|Senior Data Engineer      |
|python        |Hungary     |  32|  121|Senior Data Scientist     |
|tensorflow    |Hungary     |   6|  121|Machine Learning Engineer |
|tensorflow    |Hungary     |   6|  121|Data Scientist            |
|hadoop        |Belgium     |   6|  121|Data Scientist            |
|matplotlib    |Germany     |   4|  121|Data Analyst              |
|matplotlib    |Germany     |   4|  121|Senior Data Engineer      |
|redshift      |Netherlands |   5|  121|Senior Data Engineer      |
