Skills,Country,n,mean,Job
kafka,France,28.0,134.0,Data Analyst
kafka,France,28.0,134.0,Senior Data Engineer
kafka,France,28.0,134.0,Data Scientist
kafka,France,28.0,134.0,Software Engineer
kafka,France,28.0,134.0,Senior Data Scientist
git,Netherlands,11.0,134.0,Data Engineer
git,Netherlands,11.0,134.0,Data Scientist
git,Netherlands,11.0,134.0,Software Engineer
git,Netherlands,11.0,134.0,Senior Data Engineer
gcp,Portugal,17.0,134.0,Data Engineer
gcp,Portugal,17.0,134.0,Senior Data Scientist
gcp,Portugal,17.0,134.0,Data Scientist
gcp,Portugal,17.0,134.0,Machine Learning Engineer
gcp,Portugal,17.0,134.0,Software Engineer
sql,Ireland,31.0,133.0,Data Engineer
sql,Ireland,31.0,133.0,Data Analyst
sql,Ireland,31.0,133.0,Machine Learning Engineer
sql,Ireland,31.0,133.0,Data Scientist
sql,Ireland,31.0,133.0,Senior Data Engineer
sql,Ireland,31.0,133.0,Senior Data Analyst
sql,Ireland,31.0,133.0,Senior Data Scientist
react,Germany,2.0,133.0,Data Analyst
react,Germany,2.0,133.0,Data Engineer
aws,Germany,50.0,133.0,Senior Data Engineer
aws,Germany,50.0,133.0,Senior Data Scientist
aws,Germany,50.0,133.0,Data Scientist
aws,Germany,50.0,133.0,Data Engineer
aws,Germany,50.0,133.0,Machine Learning Engineer
aws,Germany,50.0,133.0,Business Analyst
aws,Germany,50.0,133.0,Data Analyst
aws,Germany,50.0,133.0,Cloud Engineer
oracle,Ireland,6.0,133.0,Data Engineer
oracle,Ireland,6.0,133.0,Senior Data Analyst
oracle,Ireland,6.0,133.0,Data Scientist
oracle,Ireland,6.0,133.0,Data Analyst
spark,Hungary,9.0,133.0,Machine Learning Engineer
spark,Hungary,9.0,133.0,Data Engineer
spark,Hungary,9.0,133.0,Data Analyst
spark,Hungary,9.0,133.0,Senior Data Scientist
spark,Hungary,9.0,133.0,Senior Data Engineer
ansible,Portugal,3.0,133.0,Data Engineer
bigquery,France,14.0,133.0,Senior Data Engineer
bigquery,France,14.0,133.0,Data Analyst
bigquery,France,14.0,133.0,Data Engineer
bigquery,France,14.0,133.0,Data Scientist
bigquery,France,14.0,133.0,Software Engineer
bigquery,France,14.0,133.0,Senior Data Analyst
azure,Denmark,3.0,133.0,Data Scientist
azure,Denmark,3.0,133.0,Data Analyst
azure,Denmark,3.0,133.0,Machine Learning Engineer
java,Portugal,17.0,133.0,Data Engineer
java,Portugal,17.0,133.0,Senior Data Engineer
java,Portugal,17.0,133.0,Software Engineer
java,Portugal,17.0,133.0,Data Scientist
elasticsearch,France,13.0,132.0,Senior Data Engineer
elasticsearch,France,13.0,132.0,Data Engineer
elasticsearch,France,13.0,132.0,Machine Learning Engineer
elasticsearch,France,13.0,132.0,Data Scientist
elasticsearch,France,13.0,132.0,Senior Data Scientist
redshift,Hungary,3.0,132.0,Machine Learning Engineer
redshift,Hungary,3.0,132.0,Data Analyst
redshift,Hungary,3.0,132.0,Senior Data Analyst
pyspark,Spain,6.0,132.0,Data Scientist
pyspark,Spain,6.0,132.0,Data Engineer
pyspark,Spain,6.0,132.0,Senior Data Scientist
pyspark,Spain,6.0,132.0,Senior Data Engineer
databricks,Hungary,3.0,132.0,Data Analyst
databricks,Hungary,3.0,132.0,Senior Data Scientist
shell,Portugal,2.0,132.0,Data Engineer
shell,Portugal,2.0,132.0,Software Engineer
numpy,Sweden,2.0,132.0,Data Scientist
numpy,Sweden,2.0,132.0,Machine Learning Engineer
javascript,Romania,2.0,132.0,Data Analyst
javascript,Romania,2.0,132.0,Data Scientist
pyspark,Poland,13.0,132.0,Data Engineer
pyspark,Poland,13.0,132.0,Data Scientist
pyspark,Poland,13.0,132.0,Machine Learning Engineer
pyspark,Poland,13.0,132.0,Data Analyst
pyspark,Poland,13.0,132.0,Senior Data Scientist
scala,Portugal,8.0,132.0,Data Engineer
scala,Portugal,8.0,132.0,Machine Learning Engineer
julia,Portugal,2.0,132.0,Senior Data Scientist
julia,Portugal,2.0,132.0,Data Scientist
shell,Ireland,3.0,132.0,Data Engineer
shell,Ireland,3.0,132.0,Senior Data Engineer
pandas,Romania,3.0,132.0,Software Engineer
pandas,Romania,3.0,132.0,Data Scientist
azure,Finland,3.0,131.0,Data Engineer
azure,Finland,3.0,131.0,Data Scientist
azure,Finland,3.0,131.0,Data Analyst
docker,Germany,16.0,131.0,Senior Data Scientist
docker,Germany,16.0,131.0,Data Engineer
docker,Germany,16.0,131.0,Senior Data Engineer
docker,Germany,16.0,131.0,Machine Learning Engineer
docker,Germany,16.0,131.0,Cloud Engineer
docker,Germany,16.0,131.0,Software Engineer
aws,Sweden,8.0,131.0,Senior Data Scientist
aws,Sweden,8.0,131.0,Senior Data Engineer
aws,Sweden,8.0,131.0,Data Engineer
terraform,Portugal,11.0,131.0,Machine Learning Engineer
terraform,Portugal,11.0,131.0,Data Engineer
terraform,Portugal,11.0,131.0,Senior Data Engineer
mysql,Spain,3.0,131.0,Data Engineer
mysql,Spain,3.0,131.0,Machine Learning Engineer
mysql,Spain,3.0,131.0,Data Analyst
c++,Portugal,2.0,131.0,Software Engineer
c++,Portugal,2.0,131.0,Machine Learning Engineer
pytorch,Hungary,5.0,131.0,Machine Learning Engineer
pytorch,Hungary,5.0,131.0,Data Scientist
postgresql,Portugal,2.0,131.0,Data Engineer
postgresql,Portugal,2.0,131.0,Data Scientist
mongodb,Portugal,4.0,131.0,Data Engineer
mongodb,Portugal,4.0,131.0,Data Scientist
kubernetes,Germany,20.0,131.0,Data Scientist
kubernetes,Germany,20.0,131.0,Software Engineer
kubernetes,Germany,20.0,131.0,Data Engineer
kubernetes,Germany,20.0,131.0,Machine Learning Engineer
kubernetes,Germany,20.0,131.0,Senior Data Engineer
kubernetes,Germany,20.0,131.0,Cloud Engineer
kubernetes,Germany,20.0,131.0,Senior Data Scientist
windows,Greece,2.0,131.0,Data Engineer
windows,Greece,2.0,131.0,Data Scientist
databricks,Finland,3.0,131.0,Data Engineer
databricks,Finland,3.0,131.0,Machine Learning Engineer
bash,Ireland,2.0,131.0,Data Analyst
bash,Ireland,2.0,131.0,Senior Data Scientist
spark,Germany,74.0,131.0,Data Scientist
spark,Germany,74.0,131.0,Data Engineer
spark,Germany,74.0,131.0,Senior Data Engineer
spark,Germany,74.0,131.0,Business Analyst
spark,Germany,74.0,131.0,Senior Data Scientist
spark,Germany,74.0,131.0,Cloud Engineer
spark,Germany,74.0,131.0,Machine Learning Engineer
spark,Germany,74.0,131.0,Data Analyst
spark,Germany,74.0,131.0,Software Engineer
spark,Germany,74.0,131.0,Senior Data Analyst
elasticsearch,Spain,5.0,131.0,Data Engineer
elasticsearch,Spain,5.0,131.0,Machine Learning Engineer
elasticsearch,Spain,5.0,131.0,Cloud Engineer
pandas,Portugal,8.0,130.0,Data Scientist
pandas,Portugal,8.0,130.0,Data Analyst
pandas,Portugal,8.0,130.0,Machine Learning Engineer
go,Ireland,5.0,130.0,Data Engineer
go,Ireland,5.0,130.0,Senior Data Engineer
go,Ireland,5.0,130.0,Senior Data Analyst
go,Ireland,5.0,130.0,Senior Data Scientist
go,Ireland,5.0,130.0,Data Scientist
matlab,Germany,6.0,130.0,Data Engineer
matlab,Germany,6.0,130.0,Data Analyst
matlab,Germany,6.0,130.0,Senior Data Analyst
matlab,Germany,6.0,130.0,Data Scientist
matlab,Germany,6.0,130.0,Senior Data Scientist
matlab,Germany,6.0,130.0,Machine Learning Engineer
go,Netherlands,7.0,130.0,Machine Learning Engineer
go,Netherlands,7.0,130.0,Data Analyst
go,Netherlands,7.0,130.0,Software Engineer
go,Netherlands,7.0,130.0,Data Scientist
nosql,Spain,8.0,130.0,Data Scientist
nosql,Spain,8.0,130.0,Data Engineer
nosql,Spain,8.0,130.0,Senior Data Engineer
nosql,Spain,8.0,130.0,Machine Learning Engineer
word,Greece,3.0,130.0,Senior Data Scientist
word,Greece,3.0,130.0,Machine Learning Engineer
word,Greece,3.0,130.0,Data Scientist
confluence,Germany,1.0,130.0,Business Analyst
gcp,Belgium,6.0,130.0,Data Analyst
gcp,Belgium,6.0,130.0,Data Engineer
gcp,Belgium,6.0,130.0,Data Scientist
excel,Sweden,3.0,130.0,Data Analyst
excel,Sweden,3.0,130.0,Data Engineer
excel,Sweden,3.0,130.0,Senior Data Scientist
bigquery,Portugal,8.0,129.0,Data Analyst
bigquery,Portugal,8.0,129.0,Data Engineer
bigquery,Portugal,8.0,129.0,Senior Data Analyst
numpy,Romania,2.0,129.0,Software Engineer
numpy,Romania,2.0,129.0,Data Scientist
java,Ireland,8.0,129.0,Data Engineer
java,Ireland,8.0,129.0,Senior Data Engineer
java,Ireland,8.0,129.0,Machine Learning Engineer
typescript,Germany,3.0,129.0,Senior Data Engineer
typescript,Germany,3.0,129.0,Data Engineer
scikit-learn,Spain,7.0,129.0,Data Analyst
scikit-learn,Spain,7.0,129.0,Machine Learning Engineer
scikit-learn,Spain,7.0,129.0,Data Scientist
redshift,France,6.0,129.0,Data Engineer
redshift,France,6.0,129.0,Software Engineer
redshift,France,6.0,129.0,Senior Data Analyst
redshift,France,6.0,129.0,Data Analyst
go,Romania,6.0,129.0,Software Engineer
go,Romania,6.0,129.0,Senior Data Analyst
go,Romania,6.0,129.0,Data Analyst
go,Romania,6.0,129.0,Senior Data Engineer
puppet,Spain,1.0,129.0,Cloud Engineer
chef,Spain,1.0,129.0,Cloud Engineer
ansible,Spain,1.0,129.0,Cloud Engineer
looker,Poland,14.0,129.0,Senior Data Engineer
looker,Poland,14.0,129.0,Data Analyst
looker,Poland,14.0,129.0,Data Engineer
looker,Poland,14.0,129.0,Data Scientist
looker,Poland,14.0,129.0,Senior Data Analyst
looker,Poland,14.0,129.0,Cloud Engineer
gdpr,Poland,3.0,129.0,Data Analyst
gdpr,Poland,3.0,129.0,Cloud Engineer
terraform,France,8.0,129.0,Data Engineer
terraform,France,8.0,129.0,Data Analyst
terraform,France,8.0,129.0,Data Scientist
terraform,France,8.0,129.0,Software Engineer
alteryx,Finland,1.0,129.0,Data Analyst
redis,Netherlands,4.0,129.0,Data Engineer
redis,Netherlands,4.0,129.0,Senior Data Engineer
airflow,Romania,5.0,129.0,Data Engineer
airflow,Romania,5.0,129.0,Senior Data Engineer
looker,Finland,4.0,129.0,Data Analyst
looker,Finland,4.0,129.0,Senior Data Scientist
looker,Finland,4.0,129.0,Senior Data Analyst
oracle,Portugal,5.0,129.0,Software Engineer
oracle,Portugal,5.0,129.0,Data Engineer
oracle,Portugal,5.0,129.0,Data Scientist
go,France,17.0,128.0,Senior Data Engineer
go,France,17.0,128.0,Business Analyst
go,France,17.0,128.0,Data Engineer
go,France,17.0,128.0,Senior Data Analyst
go,France,17.0,128.0,Data Scientist
go,France,17.0,128.0,Machine Learning Engineer
go,France,17.0,128.0,Senior Data Scientist
go,France,17.0,128.0,Cloud Engineer
flow,Poland,8.0,128.0,Senior Data Engineer
flow,Poland,8.0,128.0,Data Engineer
flow,Poland,8.0,128.0,Business Analyst
flow,Poland,8.0,128.0,Senior Data Scientist
flow,Poland,8.0,128.0,Data Analyst
oracle,Germany,7.0,128.0,Data Scientist
oracle,Germany,7.0,128.0,Data Engineer
oracle,Germany,7.0,128.0,Senior Data Engineer
oracle,Germany,7.0,128.0,Machine Learning Engineer
oracle,Germany,7.0,128.0,Senior Data Scientist
oracle,Germany,7.0,128.0,Data Analyst
scala,Spain,15.0,128.0,Senior Data Engineer
scala,Spain,15.0,128.0,Data Engineer
scala,Spain,15.0,128.0,Data Scientist
scala,Spain,15.0,128.0,Software Engineer
scala,Spain,15.0,128.0,Machine Learning Engineer
kubernetes,Portugal,11.0,128.0,Data Scientist
kubernetes,Portugal,11.0,128.0,Data Engineer
kubernetes,Portugal,11.0,128.0,Machine Learning Engineer
kubernetes,Portugal,11.0,128.0,Senior Data Scientist
gcp,Greece,2.0,128.0,Machine Learning Engineer
gcp,Greece,2.0,128.0,Data Engineer
jupyter,France,6.0,128.0,Machine Learning Engineer
jupyter,France,6.0,128.0,Data Scientist
jupyter,France,6.0,128.0,Data Analyst
jupyter,France,6.0,128.0,Senior Data Engineer
jupyter,France,6.0,128.0,Senior Data Scientist
sql server,Portugal,3.0,128.0,Software Engineer
sql server,Portugal,3.0,128.0,Data Analyst
power bi,Sweden,10.0,128.0,Data Scientist
power bi,Sweden,10.0,128.0,Senior Data Engineer
power bi,Sweden,10.0,128.0,Business Analyst
power bi,Sweden,10.0,128.0,Senior Data Scientist
power bi,Sweden,10.0,128.0,Data Analyst
power bi,Sweden,10.0,128.0,Senior Data Analyst
dax,Ireland,2.0,128.0,Data Engineer
dax,Ireland,2.0,128.0,Data Analyst
kubernetes,Hungary,3.0,128.0,Machine Learning Engineer
kubernetes,Hungary,3.0,128.0,Data Scientist
kubernetes,Hungary,3.0,128.0,Data Engineer
git,Portugal,10.0,128.0,Data Engineer
git,Portugal,10.0,128.0,Senior Data Engineer
git,Portugal,10.0,128.0,Data Scientist
git,Portugal,10.0,128.0,Data Analyst
docker,Finland,4.0,128.0,Software Engineer
docker,Finland,4.0,128.0,Machine Learning Engineer
docker,Finland,4.0,128.0,Senior Data Scientist
docker,Finland,4.0,128.0,Senior Data Engineer
sql server,Poland,7.0,127.0,Software Engineer
sql server,Poland,7.0,127.0,Senior Data Engineer
sql server,Poland,7.0,127.0,Data Analyst
sql server,Poland,7.0,127.0,Data Engineer
java,Netherlands,11.0,127.0,Data Engineer
java,Netherlands,11.0,127.0,Machine Learning Engineer
java,Netherlands,11.0,127.0,Data Analyst
java,Netherlands,11.0,127.0,Software Engineer
java,Netherlands,11.0,127.0,Data Scientist
sap,Netherlands,3.0,127.0,Data Analyst
sap,Sweden,1.0,127.0,Business Analyst
postgresql,Poland,8.0,127.0,Senior Data Engineer
postgresql,Poland,8.0,127.0,Data Engineer
postgresql,Poland,8.0,127.0,Business Analyst
postgresql,Poland,8.0,127.0,Machine Learning Engineer
looker,Germany,20.0,127.0,Senior Data Scientist
looker,Germany,20.0,127.0,Data Scientist
looker,Germany,20.0,127.0,Data Engineer
looker,Germany,20.0,127.0,Cloud Engineer
looker,Germany,20.0,127.0,Senior Data Analyst
looker,Germany,20.0,127.0,Data Analyst
looker,Germany,20.0,127.0,Senior Data Engineer
r,Sweden,6.0,127.0,Data Scientist
r,Sweden,6.0,127.0,Data Analyst
r,Sweden,6.0,127.0,Senior Data Analyst
databricks,Sweden,5.0,127.0,Data Scientist
databricks,Sweden,5.0,127.0,Data Analyst
databricks,Sweden,5.0,127.0,Data Engineer
databricks,Sweden,5.0,127.0,Senior Data Analyst
python,Ireland,31.0,127.0,Data Engineer
python,Ireland,31.0,127.0,Data Analyst
python,Ireland,31.0,127.0,Machine Learning Engineer
python,Ireland,31.0,127.0,Senior Data Engineer
python,Ireland,31.0,127.0,Senior Data Analyst
python,Ireland,31.0,127.0,Senior Data Scientist
python,Ireland,31.0,127.0,Data Scientist
theano,Poland,1.0,127.0,Data Scientist
mxnet,Poland,1.0,127.0,Data Scientist
java,Hungary,7.0,127.0,Data Scientist
java,Hungary,7.0,127.0,Machine Learning Engineer
java,Hungary,7.0,127.0,Senior Data Engineer
java,Hungary,7.0,127.0,Data Engineer
qlik,Spain,8.0,127.0,Data Engineer
qlik,Spain,8.0,127.0,Data Scientist
qlik,Spain,8.0,127.0,Senior Data Analyst
qlik,Spain,8.0,127.0,Software Engineer
qlik,Spain,8.0,127.0,Data Analyst
spark,Portugal,31.0,127.0,Data Analyst
spark,Portugal,31.0,127.0,Data Engineer
spark,Portugal,31.0,127.0,Data Scientist
spark,Portugal,31.0,127.0,Machine Learning Engineer
spark,Portugal,31.0,127.0,Senior Data Scientist
spark,Portugal,31.0,127.0,Business Analyst
nosql,Portugal,7.0,126.0,Data Scientist
nosql,Portugal,7.0,126.0,Data Engineer
jenkins,Greece,3.0,126.0,Data Engineer
jenkins,Greece,3.0,126.0,Machine Learning Engineer
mysql,France,5.0,126.0,Data Engineer
mysql,France,5.0,126.0,Machine Learning Engineer
mysql,France,5.0,126.0,Software Engineer
bitbucket,Poland,2.0,126.0,Data Engineer
scikit-learn,Poland,9.0,126.0,Data Scientist
scikit-learn,Poland,9.0,126.0,Machine Learning Engineer
scikit-learn,Poland,9.0,126.0,Senior Data Scientist
scikit-learn,Poland,9.0,126.0,Data Analyst
sql,Portugal,62.0,126.0,Data Scientist
sql,Portugal,62.0,126.0,Software Engineer
sql,Portugal,62.0,126.0,Data Analyst
sql,Portugal,62.0,126.0,Senior Data Scientist
sql,Portugal,62.0,126.0,Data Engineer
sql,Portugal,62.0,126.0,Senior Data Engineer
sql,Portugal,62.0,126.0,Senior Data Analyst
sql,Portugal,62.0,126.0,Machine Learning Engineer
sql,Portugal,62.0,126.0,Business Analyst
spark,France,54.0,126.0,Senior Data Engineer
spark,France,54.0,126.0,Data Engineer
spark,France,54.0,126.0,Data Analyst
spark,France,54.0,126.0,Data Scientist
spark,France,54.0,126.0,Software Engineer
spark,France,54.0,126.0,Business Analyst
spark,France,54.0,126.0,Senior Data Scientist
spark,France,54.0,126.0,Senior Data Analyst
mysql,Portugal,2.0,126.0,Data Engineer
mongo,Portugal,2.0,126.0,Data Engineer
jira,Ireland,2.0,126.0,Data Analyst
jira,Ireland,2.0,126.0,Data Engineer
gitlab,Netherlands,2.0,126.0,Data Engineer
c,Greece,2.0,126.0,Data Engineer
c,Greece,2.0,126.0,Data Scientist
matlab,Portugal,3.0,126.0,Senior Data Scientist
matlab,Portugal,3.0,126.0,Data Scientist
aws,France,50.0,126.0,Machine Learning Engineer
aws,France,50.0,126.0,Senior Data Engineer
aws,France,50.0,126.0,Business Analyst
aws,France,50.0,126.0,Data Analyst
aws,France,50.0,126.0,Data Engineer
aws,France,50.0,126.0,Software Engineer
aws,France,50.0,126.0,Data Scientist
aws,France,50.0,126.0,Senior Data Scientist
aws,France,50.0,126.0,Senior Data Analyst
snowflake,Sweden,5.0,126.0,Business Analyst
snowflake,Sweden,5.0,126.0,Data Scientist
snowflake,Sweden,5.0,126.0,Senior Data Scientist
snowflake,Sweden,5.0,126.0,Data Engineer
snowflake,Sweden,5.0,126.0,Senior Data Engineer
pandas,France,13.0,126.0,Business Analyst
pandas,France,13.0,126.0,Senior Data Engineer
pandas,France,13.0,126.0,Data Engineer
pandas,France,13.0,126.0,Data Scientist
pandas,France,13.0,126.0,Senior Data Scientist
pandas,France,13.0,126.0,Machine Learning Engineer
docker,Portugal,16.0,126.0,Data Scientist
docker,Portugal,16.0,126.0,Data Engineer
docker,Portugal,16.0,126.0,Machine Learning Engineer
docker,Portugal,16.0,126.0,Senior Data Analyst
docker,Portugal,16.0,126.0,Senior Data Engineer
docker,Portugal,16.0,126.0,Senior Data Scientist
python,Germany,138.0,126.0,Data Analyst
python,Germany,138.0,126.0,Machine Learning Engineer
python,Germany,138.0,126.0,Business Analyst
python,Germany,138.0,126.0,Senior Data Scientist
python,Germany,138.0,126.0,Data Scientist
python,Germany,138.0,126.0,Cloud Engineer
python,Germany,138.0,126.0,Data Engineer
python,Germany,138.0,126.0,Software Engineer
python,Germany,138.0,126.0,Senior Data Engineer
python,Germany,138.0,126.0,Senior Data Analyst
scala,Ireland,6.0,126.0,Data Analyst
scala,Ireland,6.0,126.0,Data Engineer
scala,Ireland,6.0,126.0,Senior Data Engineer
spark,Spain,34.0,126.0,Data Engineer
spark,Spain,34.0,126.0,Data Analyst
spark,Spain,34.0,126.0,Machine Learning Engineer
spark,Spain,34.0,126.0,Senior Data Engineer
spark,Spain,34.0,126.0,Data Scientist
spark,Spain,34.0,126.0,Software Engineer
looker,Sweden,4.0,125.0,Data Scientist
looker,Sweden,4.0,125.0,Senior Data Scientist
looker,Sweden,4.0,125.0,Senior Data Engineer
looker,Sweden,4.0,125.0,Senior Data Analyst
c#,Belgium,3.0,125.0,Data Analyst
c#,Belgium,3.0,125.0,Data Engineer
airflow,Sweden,7.0,125.0,Data Engineer
airflow,Sweden,7.0,125.0,Data Scientist
airflow,Sweden,7.0,125.0,Senior Data Scientist
airflow,Sweden,7.0,125.0,Senior Data Engineer
gcp,Sweden,7.0,125.0,Data Scientist
gcp,Sweden,7.0,125.0,Data Engineer
gcp,Sweden,7.0,125.0,Senior Data Engineer
gcp,Sweden,7.0,125.0,Machine Learning Engineer
aws,Hungary,18.0,125.0,Machine Learning Engineer
aws,Hungary,18.0,125.0,Data Scientist
aws,Hungary,18.0,125.0,Senior Data Analyst
aws,Hungary,18.0,125.0,Data Engineer
aws,Hungary,18.0,125.0,Senior Data Engineer
aws,Hungary,18.0,125.0,Data Analyst
aws,Hungary,18.0,125.0,Software Engineer
aws,Hungary,18.0,125.0,Senior Data Scientist
aws,Hungary,18.0,125.0,Cloud Engineer
aws,Romania,8.0,125.0,Senior Data Engineer
aws,Romania,8.0,125.0,Software Engineer
aws,Romania,8.0,125.0,Data Scientist
aws,Romania,8.0,125.0,Data Engineer
aws,Romania,8.0,125.0,Machine Learning Engineer
python,Portugal,68.0,125.0,Data Scientist
python,Portugal,68.0,125.0,Data Engineer
python,Portugal,68.0,125.0,Senior Data Scientist
python,Portugal,68.0,125.0,Data Analyst
python,Portugal,68.0,125.0,Machine Learning Engineer
python,Portugal,68.0,125.0,Senior Data Analyst
python,Portugal,68.0,125.0,Software Engineer
python,Portugal,68.0,125.0,Senior Data Engineer
snowflake,Finland,6.0,125.0,Data Engineer
snowflake,Finland,6.0,125.0,Senior Data Scientist
snowflake,Finland,6.0,125.0,Senior Data Engineer
snowflake,Finland,6.0,125.0,Senior Data Analyst
snowflake,Finland,6.0,125.0,Machine Learning Engineer
hadoop,France,24.0,125.0,Data Engineer
hadoop,France,24.0,125.0,Data Scientist
hadoop,France,24.0,125.0,Business Analyst
hadoop,France,24.0,125.0,Senior Data Analyst
hadoop,France,24.0,125.0,Data Analyst
hadoop,France,24.0,125.0,Software Engineer
gcp,Finland,1.0,125.0,Data Scientist
tensorflow,Poland,14.0,125.0,Machine Learning Engineer
tensorflow,Poland,14.0,125.0,Data Scientist
tensorflow,Poland,14.0,125.0,Senior Data Scientist
tensorflow,Poland,14.0,125.0,Cloud Engineer
tensorflow,Poland,14.0,125.0,Data Engineer
pytorch,Portugal,5.0,125.0,Machine Learning Engineer
pytorch,Portugal,5.0,125.0,Data Scientist
gcp,Netherlands,9.0,124.0,Senior Data Engineer
gcp,Netherlands,9.0,124.0,Data Engineer
gcp,Netherlands,9.0,124.0,Machine Learning Engineer
gcp,Netherlands,9.0,124.0,Data Scientist
git,Germany,21.0,124.0,Senior Data Scientist
git,Germany,21.0,124.0,Cloud Engineer
git,Germany,21.0,124.0,Data Engineer
git,Germany,21.0,124.0,Data Scientist
git,Germany,21.0,124.0,Machine Learning Engineer
git,Germany,21.0,124.0,Senior Data Analyst
git,Germany,21.0,124.0,Senior Data Engineer
git,Germany,21.0,124.0,Data Analyst
bigquery,Sweden,3.0,124.0,Data Scientist
bigquery,Sweden,3.0,124.0,Data Engineer
gdpr,Sweden,7.0,124.0,Data Scientist
gdpr,Sweden,7.0,124.0,Data Engineer
gdpr,Sweden,7.0,124.0,Data Analyst
gdpr,Sweden,7.0,124.0,Machine Learning Engineer
gdpr,Sweden,7.0,124.0,Business Analyst
tableau,Poland,34.0,124.0,Business Analyst
tableau,Poland,34.0,124.0,Data Scientist
tableau,Poland,34.0,124.0,Data Analyst
tableau,Poland,34.0,124.0,Data Engineer
tableau,Poland,34.0,124.0,Senior Data Analyst
tableau,Poland,34.0,124.0,Senior Data Scientist
tableau,Poland,34.0,124.0,Senior Data Engineer
looker,Italy,3.0,124.0,Senior Data Analyst
looker,Italy,3.0,124.0,Data Engineer
looker,Italy,3.0,124.0,Data Analyst
npm,Spain,4.0,124.0,Senior Data Analyst
npm,Spain,4.0,124.0,Data Analyst
npm,Spain,4.0,124.0,Data Scientist
azure,Sweden,14.0,124.0,Senior Data Analyst
azure,Sweden,14.0,124.0,Senior Data Engineer
azure,Sweden,14.0,124.0,Data Analyst
azure,Sweden,14.0,124.0,Data Engineer
azure,Sweden,14.0,124.0,Software Engineer
azure,Sweden,14.0,124.0,Business Analyst
confluence,Spain,3.0,124.0,Data Engineer
confluence,Spain,3.0,124.0,Senior Data Engineer
confluence,Spain,3.0,124.0,Software Engineer
sql,Germany,106.0,124.0,Data Analyst
sql,Germany,106.0,124.0,Business Analyst
sql,Germany,106.0,124.0,Senior Data Scientist
sql,Germany,106.0,124.0,Data Engineer
sql,Germany,106.0,124.0,Software Engineer
sql,Germany,106.0,124.0,Data Scientist
sql,Germany,106.0,124.0,Senior Data Engineer
sql,Germany,106.0,124.0,Senior Data Analyst
sql,Germany,106.0,124.0,Machine Learning Engineer
sql,Germany,106.0,124.0,Cloud Engineer
scikit-learn,Ireland,3.0,124.0,Machine Learning Engineer
scikit-learn,Ireland,3.0,124.0,Data Scientist
numpy,Ireland,3.0,124.0,Senior Data Scientist
numpy,Ireland,3.0,124.0,Machine Learning Engineer
numpy,Ireland,3.0,124.0,Data Scientist
kafka,Netherlands,12.0,124.0,Senior Data Engineer
kafka,Netherlands,12.0,124.0,Data Engineer
kafka,Netherlands,12.0,124.0,Machine Learning Engineer
slack,Greece,1.0,124.0,Data Engineer
jupyter,Greece,1.0,124.0,Data Engineer
r,Hungary,5.0,123.0,Software Engineer
r,Hungary,5.0,123.0,Data Analyst
r,Hungary,5.0,123.0,Data Scientist
r,Hungary,5.0,123.0,Data Engineer
python,Finland,13.0,123.0,Data Engineer
python,Finland,13.0,123.0,Machine Learning Engineer
python,Finland,13.0,123.0,Senior Data Analyst
python,Finland,13.0,123.0,Data Scientist
python,Finland,13.0,123.0,Senior Data Scientist
python,Finland,13.0,123.0,Senior Data Engineer
scala,Sweden,7.0,123.0,Machine Learning Engineer
scala,Sweden,7.0,123.0,Data Engineer
scala,Sweden,7.0,123.0,Senior Data Engineer
snowflake,France,23.0,123.0,Senior Data Engineer
snowflake,France,23.0,123.0,Data Engineer
snowflake,France,23.0,123.0,Data Analyst
snowflake,France,23.0,123.0,Data Scientist
snowflake,France,23.0,123.0,Senior Data Analyst
cassandra,France,9.0,123.0,Business Analyst
cassandra,France,9.0,123.0,Senior Data Engineer
cassandra,France,9.0,123.0,Data Engineer
sql,Sweden,27.0,123.0,Data Scientist
sql,Sweden,27.0,123.0,Data Engineer
sql,Sweden,27.0,123.0,Senior Data Engineer
sql,Sweden,27.0,123.0,Data Analyst
sql,Sweden,27.0,123.0,Senior Data Scientist
sql,Sweden,27.0,123.0,Business Analyst
sql,Sweden,27.0,123.0,Senior Data Analyst
r,Portugal,9.0,123.0,Data Analyst
r,Portugal,9.0,123.0,Data Scientist
r,Portugal,9.0,123.0,Senior Data Scientist
tableau,Sweden,9.0,123.0,Data Scientist
tableau,Sweden,9.0,123.0,Data Engineer
tableau,Sweden,9.0,123.0,Business Analyst
tableau,Sweden,9.0,123.0,Senior Data Scientist
tableau,Sweden,9.0,123.0,Senior Data Engineer
tableau,Sweden,9.0,123.0,Data Analyst
bigquery,Poland,24.0,123.0,Data Engineer
bigquery,Poland,24.0,123.0,Software Engineer
bigquery,Poland,24.0,123.0,Senior Data Engineer
bigquery,Poland,24.0,123.0,Data Scientist
bigquery,Poland,24.0,123.0,Data Analyst
bigquery,Poland,24.0,123.0,Senior Data Scientist
bigquery,Poland,24.0,123.0,Senior Data Analyst
word,Portugal,2.0,123.0,Data Scientist
word,Portugal,2.0,123.0,Data Analyst
swift,Germany,2.0,123.0,Data Scientist
swift,Germany,2.0,123.0,Senior Data Scientist
gdpr,Ireland,3.0,123.0,Data Analyst
gdpr,Ireland,3.0,123.0,Senior Data Scientist
gdpr,Ireland,3.0,123.0,Senior Data Engineer
kubernetes,France,22.0,122.0,Senior Data Engineer
